Time,Motion 1 motion,Motion 2 motion,Motion 3 motion,Motion 4 motion
11:10:09,,0,,
11:10:20,,,1,
11:10:29,,1,,
11:11:41,,,,0
11:11:45,,,,1
11:11:55,0,,,
11:12:38,,0,,
11:12:42,,,0,
11:13:47,,,,0
11:14:44,,,,1
11:15:44,,,,0
11:16:02,,,,1
11:16:55,,,1,
11:17:00,,1,,
11:17:04,1,,,
11:17:55,,,0,
11:18:02,,0,,
11:18:09,0,,,
11:18:56,,,,0
11:22:36,,,,1
11:23:36,,,,0
11:24:36,,,,1
11:25:04,1,,,
11:25:14,,1,,
11:25:22,,,1,
11:26:15,0,,,
11:26:22,,0,,
11:26:28,,,0,
11:28:16,,,1,
11:28:21,,1,,
11:28:28,1,,,
11:29:19,,,0,
11:29:25,,0,,
11:29:30,0,,,
11:30:13,,,,0
11:30:15,,,,1
11:33:25,1,,,0
11:33:30,,1,,1
11:33:35,,,1,
11:35:25,,,0,0
11:35:30,,0,,
11:35:34,0,,,
11:35:41,1,,,
11:35:46,,1,,
11:35:51,,,1,
11:36:43,0,,,
11:36:47,,0,,
11:36:53,,,0,
11:40:07,,,1,
11:40:22,1,,,
11:41:00,,1,,0
11:41:57,0,,,1
11:42:04,,0,,0
11:42:09,,,0,
11:42:36,1,,,1
11:42:42,,1,,
11:42:48,,,1,0
11:44:22,,0,,
11:44:26,0,,,1
11:44:39,,1,,
11:44:43,1,,,0
11:46:18,,,0,
11:46:23,,0,,1
11:46:28,0,,,
11:49:31,1,,,
11:49:34,,1,,
11:49:40,,,1,0
11:50:32,0,,,1
11:50:39,,0,,
11:51:33,,,0,
11:52:24,,,1,
11:52:30,,1,,
11:52:37,1,,,0
11:56:06,0,,,
11:56:13,,0,,
11:56:18,,,0,
11:56:29,,1,,
11:56:44,,,1,
11:57:47,,,0,
11:57:53,,0,,
11:58:50,,,1,
11:58:52,1,,,
11:58:57,,,,
12:00:02,,0,,
12:00:03,,,0,
12:00:08,0,,,1
12:01:27,,,1,
12:01:33,,1,,
12:01:37,1,,,
12:05:15,,,0,
12:05:20,,0,,
12:05:26,0,,,
12:05:46,1,,,
12:05:52,,1,,
12:05:57,,,1,
12:06:49,0,,,
12:06:54,,0,,
12:06:59,,,0,
12:07:31,,,1,
12:07:36,,,,
12:07:41,1,,,
12:08:33,,,0,
12:08:39,,,,
12:08:44,0,,,
12:09:00,,,1,
12:09:06,,1,,
12:09:11,1,,,
12:10:03,,,0,0
12:10:09,,0,,1
12:10:13,0,,,0
12:10:38,,,1,
12:10:41,1,,,
12:10:42,,1,,
12:12:20,0,,,
12:12:24,,0,,1
12:12:30,,,0,
12:19:43,,,1,
12:20:42,,1,,
12:20:47,1,,,
12:22:25,0,,,
12:22:28,,0,,
12:22:32,,,0,
12:25:21,,,1,
12:25:25,,1,,
12:25:29,1,,,
12:26:21,,,0,0
12:26:26,,0,,
12:26:33,0,,,1
12:27:13,1,,,0
12:28:16,0,,,
12:28:29,1,,,
12:28:35,,1,,
12:28:39,,,1,
12:29:32,0,,,
12:29:36,,0,,
12:29:40,,,0,
12:32:10,,,1,
12:32:14,,1,,
12:32:19,1,,,
12:33:12,,,0,
12:33:16,,0,,
12:33:21,0,,,
12:34:21,,,1,
12:34:25,,1,,
12:34:30,1,,,
12:35:23,,,0,1
12:35:27,,0,,
12:35:33,0,,,
12:36:02,1,,,0
12:36:04,,,1,1
12:36:25,,1,,
12:37:21,,,0,
12:37:27,,0,,
12:37:39,0,,,0
12:38:45,,,1,
12:40:05,,,0,1
12:41:09,,,1,
12:42:22,,,0,
12:42:32,,,1,
12:43:36,,,0,
12:43:55,,,1,
12:44:00,,1,,
12:44:05,1,,,
12:44:57,,,0,
12:45:01,,0,,0
12:45:08,0,,,1
12:48:47,,,1,0
12:49:49,,,0,1
12:50:54,,,1,0
12:52:05,,,0,
12:54:40,,,1,
12:55:20,1,,,
12:55:23,,1,,1
12:56:21,0,,,
12:56:25,,0,,
12:56:30,,,0,
12:59:56,1,,,0
13:00:02,,1,,
13:00:09,,,1,
13:00:59,0,,,
13:01:05,,0,,1
13:01:11,,,0,
13:02:40,,,,
13:02:44,,1,,
13:04:11,1,,,0
13:06:41,0,,,
13:06:47,,0,1,
13:06:49,,,,
13:06:52,,1,,1
13:07:45,1,,,
13:08:34,,0,,
13:08:35,,,0,
13:08:48,,,1,
13:10:07,,,0,
13:10:17,,,1,
13:10:22,,1,,
13:10:27,1,,,
13:11:45,0,,,
13:11:47,1,,,
13:14:54,,0,,
13:14:58,,,0,
13:15:11,,,1,
13:15:15,,1,,
13:16:13,,,0,
13:16:23,,0,,
13:16:31,,,,0
13:16:32,0,,,
13:16:36,1,,,
13:16:38,,,,1
13:16:42,,1,,
13:16:45,,,1,
13:17:49,,0,,
13:17:54,,,0,
13:17:56,0,,,
13:18:26,,,,0
13:19:14,,,,1
13:20:16,,,,0
13:21:32,,,,1
13:21:41,,,1,
13:21:47,,1,,
13:21:51,1,,,
13:22:37,,,,0
13:22:44,,,0,
13:22:49,,0,,
13:22:55,0,,,
13:23:22,,,,1
13:23:38,1,,,
13:23:44,,1,,
13:23:49,,,1,
13:24:56,,,0,
13:24:59,,,1,
13:25:02,,0,,
13:25:03,,1,,0
13:25:07,1,,,
13:25:07,0,,,
13:26:01,,,0,
13:26:05,,0,,1
13:26:06,,,1,
13:26:11,,,,
13:26:12,,1,,
13:26:17,1,,,
13:27:31,,,0,
13:27:35,,,1,
13:28:53,,0,,
13:28:58,0,,,
13:29:23,,,,0
13:29:30,,,0,
13:30:03,1,,,
13:30:07,,1,,
13:30:12,,,1,
13:30:14,,,,1
13:32:06,0,,,
13:32:11,,0,,
13:32:15,,,0,
13:32:39,,,1,
13:32:43,,1,,
13:32:49,1,,,
13:33:37,,,,0
13:33:41,,,0,
13:33:48,,0,,
13:33:50,0,,,
13:34:53,1,,,
13:34:54,,,,1
13:35:00,,1,,
13:35:07,,,1,
13:35:58,0,,,
13:36:03,,0,,
13:36:09,,,0,
13:36:10,1,,,
13:36:15,,1,,
13:36:17,,,,0
13:36:19,,,1,
13:36:21,,,,1
13:37:28,,,0,
13:37:30,,,,0
13:37:34,,0,,
13:37:43,0,,,
13:40:54,,,,1
13:42:00,,,1,
13:42:07,1,,,0
13:42:11,,1,,
13:43:08,0,,,
13:43:13,,0,,
13:43:19,,,0,
13:45:12,,,1,
13:45:17,,1,,
13:45:21,1,,,
13:47:13,,,0,
13:47:19,,,1,
13:49:47,,,0,1
13:49:51,,0,,
13:51:18,0,,,
13:51:40,,,,0
13:51:53,1,,,
13:51:57,,,,1
13:51:59,,1,,
13:52:04,,,1,
13:52:57,0,,,
13:53:01,,0,,
13:53:08,,,0,
13:54:54,,,,0
13:55:06,1,,,
13:55:12,,1,,
13:55:17,,,1,
13:55:24,,,,1
13:57:41,,,,0
13:57:47,,,0,
13:57:52,,0,,
13:57:58,0,,,
13:58:04,,,,1
13:58:11,,,1,
13:58:14,,1,,
13:58:18,1,,,
14:03:43,,,0,
14:03:49,,0,,
14:03:57,0,,,
14:04:43,1,,,0
14:04:47,,1,,
14:04:47,,,1,
14:08:01,,,0,
14:08:04,,0,,
14:08:26,,1,,
14:08:29,,,1,
14:09:45,0,,,
14:10:25,,0,,
14:10:32,,,0,
14:10:56,,,1,
14:11:15,,1,,
14:11:20,1,,,
14:12:16,,,0,
14:12:17,,0,,
14:12:18,,,1,
14:12:23,,1,,
14:12:24,0,,,
14:12:28,1,,,
14:13:20,,,0,
14:13:26,,0,,1
14:13:28,,1,,
14:13:34,,,1,
14:14:26,0,,,
14:14:31,,0,,
14:14:36,,,0,
14:16:00,,,,0
14:16:20,,,,1
14:16:28,,,1,
14:16:33,,1,,
14:16:40,1,,,
14:17:25,,,,0
14:17:33,,,0,
14:17:37,,0,,
14:17:41,0,,,
14:17:59,,,,1
14:18:07,,,1,
14:19:16,,,0,
14:19:20,,,,0
14:19:59,,,,1
14:20:01,1,,,
14:20:04,,1,,
14:20:24,,,1,
14:21:03,0,,,
14:21:09,,0,,
14:21:13,,,0,
14:22:25,,,,0
14:23:45,,,,1
14:24:55,,,,0
14:25:05,,,,1
14:25:22,,,1,
14:25:44,1,,,
14:25:50,,1,,
14:26:48,0,,,
14:26:51,,0,,
14:26:55,,,0,
14:27:04,,,,0
14:27:06,,,,1
14:27:40,1,,,
14:27:48,,,1,
14:27:53,,1,,
14:28:49,,,0,
14:28:55,,0,,
14:29:00,0,,,
14:29:01,,,,0
14:29:48,,,,1
14:31:25,,,,0
14:31:47,,,,1
14:32:44,1,,,
14:32:48,,1,,
14:32:51,,,1,
14:33:46,0,,,
14:33:49,,0,,
14:33:52,,,0,
14:34:01,,,,0
14:35:41,,,,1
14:35:49,,,1,
14:35:54,,1,,
14:36:00,1,,,
14:38:22,,,0,
14:38:26,,0,,
14:38:46,,1,,
14:38:51,,,1,
14:39:42,0,,,
14:39:47,,0,,
14:39:52,,,0,
14:40:02,,,,0
14:40:20,1,,,
14:41:11,,,,1
14:41:19,,,1,
14:41:23,,1,,
14:42:32,1,,,
14:42:32,0,,,
14:43:44,,,0,
14:43:47,,0,,
14:43:51,,1,,
14:43:56,,,1,
14:44:52,0,,,
14:44:54,,0,,
14:44:57,,,0,
14:45:53,,,,0
14:46:02,,,,1
14:46:09,,,1,
14:46:14,,1,,
14:46:19,1,,,
14:47:07,,,,0
14:47:14,,,,1
14:48:28,,,,0
14:48:35,,,0,
14:48:35,,,1,
14:48:41,,,,1
14:49:29,0,,,
14:49:34,,0,,
14:49:37,,,0,
14:49:48,,,,0
14:50:58,,,,1
14:51:04,,,1,
14:51:09,,1,,
14:51:13,1,,,
14:52:19,,,0,
14:52:23,,0,,
14:52:29,0,,,
14:53:58,,,,0
14:54:01,,,,1
14:54:12,,,1,
14:54:19,,1,,
14:54:26,1,,,
14:55:35,0,,,
14:55:40,,0,,
